"","model_label","model_code","ref_label","ref_percent","bps_name","current_percent"
"1","10110_27_A","10110_27","A",7,"Rocky Mountain Aspen Forest and Woodland",87
"2","10110_27_B","10110_27","B",35,"Rocky Mountain Aspen Forest and Woodland",5
"3","10110_27_C","10110_27","C",58,"Rocky Mountain Aspen Forest and Woodland",0
"4","10110_27_D","10110_27","D",NA,"Rocky Mountain Aspen Forest and Woodland",0
"5","10110_27_E","10110_27","E",NA,"Rocky Mountain Aspen Forest and Woodland",0
"6","10110_27_Agriculture","10110_27","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",0
"7","10110_27_Developed","10110_27","Developed",0,"Rocky Mountain Aspen Forest and Woodland",0
"8","10110_27_Water","10110_27","Water",0,"Rocky Mountain Aspen Forest and Woodland",0
"9","10110_27_UN","10110_27","UN",0,"Rocky Mountain Aspen Forest and Woodland",6
"10","10110_27_UE","10110_27","UE",0,"Rocky Mountain Aspen Forest and Woodland",0
"11","10110_28_A","10110_28","A",7,"Rocky Mountain Aspen Forest and Woodland",100
"12","10110_28_B","10110_28","B",35,"Rocky Mountain Aspen Forest and Woodland",0
"13","10110_28_C","10110_28","C",58,"Rocky Mountain Aspen Forest and Woodland",0
"14","10110_28_D","10110_28","D",NA,"Rocky Mountain Aspen Forest and Woodland",0
"15","10110_28_E","10110_28","E",NA,"Rocky Mountain Aspen Forest and Woodland",0
"16","10110_28_Agriculture","10110_28","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",0
"17","10110_28_Developed","10110_28","Developed",0,"Rocky Mountain Aspen Forest and Woodland",0
"18","10110_28_Water","10110_28","Water",0,"Rocky Mountain Aspen Forest and Woodland",0
"19","10110_28_UN","10110_28","UN",0,"Rocky Mountain Aspen Forest and Woodland",0
"20","10110_28_UE","10110_28","UE",0,"Rocky Mountain Aspen Forest and Woodland",0
"21","10120_16_27_A","10120_16_27","A",8,"Rocky Mountain Bigtooth Maple Ravine Woodland",55
"22","10120_16_27_B","10120_16_27","B",18,"Rocky Mountain Bigtooth Maple Ravine Woodland",20
"23","10120_16_27_C","10120_16_27","C",74,"Rocky Mountain Bigtooth Maple Ravine Woodland",17
