"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,54060,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,12023,0.2
"2",13,179,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,40,0
"3",14,1518,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,338,0
"4",16,8101,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1802,0
"5",17,3247,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,722,0
"6",22,10324,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,2296,0
"7",23,6322,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,1406,0
"8",24,1545,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,344,0
"9",25,132598,278209151,"Developed-Roads",0,0,0,0,0,0,29489,0.6
"10",31,6134,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,1364,0
"11",32,5957,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,1325,0
"12",63,3068,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,682,0
"13",64,517,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,115,0
"14",65,15497,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,3446,0.1
"15",68,2500,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,556,0
"16",100,18667,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,4151,0.1
"17",110,527,36085164,"Tree Cover = 10%",228,239,224,0.894117647,0.937254902,0.878431373,117,0
"18",111,254,6528884,"Tree Cover = 11%",226,238,222,0.88627451,0.933333333,0.870588235,56,0
"19",112,355,7198220,"Tree Cover = 12%",225,237,220,0.882352941,0.929411765,0.862745098,79,0
"20",113,623,7904402,"Tree Cover = 13%",223,236,218,0.874509804,0.925490196,0.854901961,139,0
"21",114,1054,8543638,"Tree Cover = 14%",221,235,216,0.866666667,0.921568627,0.847058824,234,0
"22",115,2148,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,478,0
"23",116,4600,10275647,"Tree Cover = 16%",218,233,212,0.854901961,0.91372549,0.831372549,1023,0
"24",117,9816,11312146,"Tree Cover = 17%",216,232,210,0.847058824,0.909803922,0.823529412,2183,0
"25",118,52038,12913967,"Tree Cover = 18%",215,231,208,0.843137255,0.905882353,0.815686275,11573,0.2
"26",119,55366,13387968,"Tree Cover = 19%",212,230,204,0.831372549,0.901960784,0.8,12313,0.2
"27",120,82587,14038666,"Tree Cover = 20%",207,227,199,0.811764706,0.890196078,0.780392157,18367,0.4
"28",121,108951,14492868,"Tree Cover = 21%",203,225,195,0.796078431,0.882352941,0.764705882,24230,0.5
"29",122,128408,14889813,"Tree Cover = 22%",199,223,190,0.780392157,0.874509804,0.745098039,28557,0.6
"30",123,140259,15140697,"Tree Cover = 23%",195,221,185,0.764705882,0.866666667,0.725490196,31193,0.6
"31",124,146715,15453883,"Tree Cover = 24%",191,219,180,0.749019608,0.858823529,0.705882353,32629,0.6
"32",125,152464,41607650,"Tree Cover = 25%",187,217,176,0.733333333,0.850980392,0.690196078,33907,0.7
"33",126,153915,16086530,"Tree Cover = 26%",182,215,171,0.71372549,0.843137255,0.670588235,34230,0.7
"34",127,302049,18727838,"Tree Cover = 27%",178,213,166,0.698039216,0.835294118,0.650980392,67174,1.3
"35",128,141173,18708923,"Tree Cover = 28%",174,211,162,0.682352941,0.82745098,0.635294118,31396,0.6
"36",129,131010,20747451,"Tree Cover = 29%",170,209,158,0.666666667,0.819607843,0.619607843,29136,0.6
"37",130,152857,19623262,"Tree Cover = 30%",166,207,154,0.650980392,0.811764706,0.603921569,33995,0.7
"38",131,97616,19345830,"Tree Cover = 31%",163,205,150,0.639215686,0.803921569,0.588235294,21709,0.4
