"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,54060,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,12023,0.2
"2",13,179,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,40,0
"3",14,1518,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,338,0
"4",16,8101,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,1802,0
"5",17,3247,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,722,0
"6",22,10324,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,2296,0
"7",23,6322,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,1406,0
"8",24,1545,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,344,0
"9",25,132598,278209151,"Developed-Roads",0,0,0,0,0,0,29489,0.6
"10",31,6134,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,1364,0
"11",32,5957,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,1325,0
"12",63,3068,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,682,0
"13",64,517,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,115,0
"14",65,15497,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,3446,0.1
"15",68,2500,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,556,0
"16",100,18667,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,4151,0.1
"17",101,554,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,123,0
"18",102,551,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,123,0
"19",103,10765,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,2394,0
"20",104,190669,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,42404,0.8
"21",105,617328,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,137290,2.7
"22",106,577012,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,128324,2.5
"23",107,297812,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,66232,1.3
"24",108,218934,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,48690,1
"25",109,179961,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,40022,0.8
"26",110,156119,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,34720,0.7
"27",111,133473,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,29684,0.6
"28",112,15359,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,3416,0.1
"29",113,8622,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,1917,0
"30",114,4699,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,1045,0
"31",115,2520,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,560,0
"32",116,1419,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,316,0
"33",117,1169,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,260,0
"34",118,844,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,188,0
"35",119,166,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,37,0
"36",120,111,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,25,0
"37",121,115,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,26,0
"38",201,15570,4876712,"Shrub Height = 0.1 meter",239,228,204,0.937254902,0.894117647,0.8,3463,0.1
